Country,iso_a3,Last,Previous,Evolution,Date,Unit,
Maldives,MDV,1.05,0.56,0.49,Avril 2022,%,
Mali,MLI,4.5,3.9,0.6,Decembre 2021,%,
Malta,MLT,4.5,4.2,0.3,Mars 2022,%,
Mauritania,MRT,6.1,6,0.1,Janvier 2022,%,
Mauritius,MUS,11,10.7,0.3,Decembre 2021,%,
Mexico,MEX,7.68,7.45,0.23,Mars 2022,%,
Moldova,MDA,27.1,22.2,4.9,Avril 2022,%,
Mongolia,MNG,14.4,14.2,0.2,Mars 2022,%,
Montenegro,MNE,9.7,6.7,3,Avril 2022,%,
Morocco,MAR,5.3,3.6,1.7,Avril 2022,%,
Mozambique,MOZ,7.9,6.67,1.23,Mars 2022,%,
Myanmar,MMR,7.28,6.71,0.57,Decembre 2021,%,
Namibia,NAM,5.6,4.5,1.1,Avril 2022,%,
Nepal,NPL,7.14,5.97,1.17,Avril 2022,%,
Netherlands,NLD,9.6,9.7,-0.1,Avril 2022,%,
New Caledonia,NCL,1.2,1,0.2,Avril 2022,%,
New Zealand,NZL,6.9,5.9,1,Avril 2022,%,
Nicaragua,NIC,7.68,7.21,0.47,Mars 2022,%,
Niger,NER,4.89,4.41,0.48,Mars 2022,%,
Nigeria,NGA,15.92,15.7,0.22,Avril 2022,%,
Norway,NOR,5.4,4.5,0.9,Mars 2022,%,
Oman,OMN,3.6,4.02,-0.42,Avril 2022,%,
Pakistan,PAK,13.4,12.7,0.7,Fevrier 2022,%,
Palestine,PSE,3.78,3.62,0.16,Mars 2022,%,
Panama,PAN,3.18,2.74,0.44,Mars 2022,%,
Papua New Guinea,PNG,5.7,4.28,1.42,Avril 2022,%,
Paraguay,PRY,11.8,10.1,1.7,Avril 2022,%,
Peru,PER,7.96,6.83,1.13,Fevrier 2022,%,
Philippines,PHL,4.9,4,0.9,Mars 2022,%,
Poland,POL,12.3,11,1.3,Mars 2022,%,
Portugal,PRT,7.2,5.3,1.9,Avril 2022,%,
Puerto Rico,PRI,5.1,4.7,0.4,Mars 2022,%,
Qatar,QAT,4.42,3.99,0.43,Mars 2022,%,
Romania,ROU,13.76,10.15,3.61,Avril 2022,%,
Russia,RUS,16.7,9.2,7.5,Decembre 2021,%,
Rwanda,RWA,10.5,5.6,4.9,Avril 2022,%,
Sao Tome and Principe,STP,12.1,10.5,1.6,Avril 2022,%,
Saudi Arabia,SAU,2,1.6,0.4,Janvier 2022,%,
Senegal,SEN,6.2,6.5,-0.3,Janvier 2022,%,
Serbia,SRB,9.6,9.1,0.5,Fevrier 2022,%,
Seychelles,SYC,2.2,2.22,-0.02,Avril 2022,%,
Sierra Leone,SLE,17.59,16.65,0.94,Avril 2022,%,
Singapore,SGP,5.4,4.3,1.1,Aout 2021,%,
Slovakia,SVK,10.4,9,1.4,Avril 2022,%,
Slovenia,SVN,6.9,5.4,1.5,Mars 2022,%,
Somalia,SOM,6.1,6.45,-0.35,Avril 2022,%,
South Africa,ZAF,5.9,5.7,0.2,Avril 2022,%,
South Korea,KOR,4.8,4.1,0.7,Mars 2022,%,
South Sudan,SSD,-8.52,-10.29,1.77,Janvier 2022,%,
Spain,ESP,8.4,9.8,-1.4,Avril 2022,%,
Sri Lanka,LKA,29.8,18.7,11.1,Avril 2022,%,
Sudan,SDN,260,318,-58,Decembre 2021,%,
Suriname,SUR,61.5,60.65,0.85,Avril 2022,%,
Swaziland,SWZ,3.3,3.6,-0.3,Avril 2022,%,
Sweden,SWE,6.4,6,0.4,Decembre 2021,%,
Switzerland,CHE,2.5,2.4,0.1,Mars 2022,%,
Syria,SYR,139,134,5,Avril 2022,%,
Taiwan,TWN,3.38,3.27,0.11,Avril 2022,%,
Tajikistan,TJK,7.3,7.1,0.2,Avril 2022,%,
Tanzania,TZA,3.8,3.6,0.2,Septembre 2021,%,
Thailand,THA,4.65,5.73,-1.08,Avril 2022,%,
Togo,TGO,8.7,8.5,0.2,Avril 2022,%,
Trinidad and Tobago,TTO,3.8,3.5,0.3,Avril 2022,%,
Tunisia,TUN,7.5,7.2,0.3,Avril 2022,%,
Turkey,TUR,69.97,61.14,8.83,Avril 2022,%,
Turkmenistan,TKM,12.45,7.58,4.87,Decembre 2021,%,
Uganda,UGA,4.9,3.7,1.2,Avril 2022,%,
Ukraine,UKR,16.4,13.7,2.7,Avril 2022,%,
United Arab Emirates,ARE,2.5,2.6,-0.1,Decembre 2021,%,
United Kingdom,GBR,7,6.2,0.8,Mars 2022,%,
United States,USA,8.3,8.5,-0.2,Avril 2022,%,
Uruguay,URY,9.37,9.38,-0.01,Avril 2022,%,
Uzbekistan,UZB,10.38,10.5,-0.12,Avril 2022,%,
Vanuatu,VUT,0.9,2.4,-1.5,Septembre 2021,%,
Venezuela,VEN,222,284,-62,Avril 2022,%,
Viet nam,VNM,2.64,2.41,0.23,Avril 2022,%,
Zambia,ZMB,11.5,13.1,-1.6,Avril 2022,%,
Zimbabwe,ZWE,96.4,72.7,23.7,Avril 2022,%,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
